"grp","common","est","year","metacomm","longitude","latitude"
"11","gizzard shad",2.85312023614448,2008,"VA",407.602632782714,4122.38484581667
"12","gizzard shad",1.33918063704396,2008,"VA",392.602632782714,4131.04509985451
"13","gizzard shad",0.860800813450757,2008,"VA",402.602632782714,4131.04509985451
"14","gizzard shad",0.885975492355434,2008,"VA",397.602632782714,4139.70535389236
"15","gizzard shad",2.15699202633167,2008,"VA",407.602632782714,4139.70535389236
"16","gizzard shad",1.48243060106358,2008,"VA",392.602632782714,4148.3656079302
"17","gizzard shad",1.21586644796075,2008,"VA",402.602632782714,4148.3656079302
"18","gizzard shad",4.54875525295572,2008,"VA",412.602632782714,4148.3656079302
"19","gizzard shad",3.03882921389219,2008,"VA",387.602632782714,4157.02586196804
"20","gizzard shad",1.24266737336865,2008,"VA",397.602632782714,4157.02586196804
"21","gizzard shad",1.5876689288353,2008,"VA",407.602632782714,4157.02586196804
"22","gizzard shad",2.98735797639356,2008,"VA",392.602632782714,4165.68611600589
"23","gizzard shad",1.43292202320981,2008,"VA",402.602632782714,4165.68611600589
"24","gizzard shad",2.8609472577933,2008,"VA",412.602632782714,4165.68611600589
"25","gizzard shad",4.88847325552006,2008,"VA",387.602632782714,4174.34637004373
"26","gizzard shad",2.66711220820888,2008,"VA",397.602632782714,4174.34637004373
"27","gizzard shad",3.45616872156987,2008,"VA",407.602632782714,4174.34637004373
"28","gizzard shad",6.87947657263227,2008,"VA",392.602632782714,4183.00662408158
"29","gizzard shad",1.77370684120729,2008,"VA",402.602632782714,4183.00662408158
"30","gizzard shad",2.81221356077962,2008,"VA",397.602632782714,4191.66687811942
"31","gizzard shad",3.69517753034743,2008,"VA",407.602632782714,4191.66687811942
"4","gizzard shad",0.566134162926965,2009,"VA",397.602632782714,4105.06433774098
"5","gizzard shad",3.16194916019881,2009,"VA",407.602632782714,4105.06433774098
"6","gizzard shad",0.615466652669358,2009,"VA",392.602632782714,4113.72459177882
"7","gizzard shad",0.373437405788804,2009,"VA",402.602632782714,4113.72459177882
"8","gizzard shad",32.7953259996585,2009,"VA",377.602632782714,4122.38484581667
"9","gizzard shad",0.911020272596882,2009,"VA",387.602632782714,4122.38484581667
"10","gizzard shad",0.28060014038056,2009,"VA",397.602632782714,4122.38484581667
"11","gizzard shad",0.943962005257351,2009,"VA",407.602632782714,4122.38484581667
"12","gizzard shad",0.491792038059507,2009,"VA",392.602632782714,4131.04509985451
"13","gizzard shad",0.279439553155068,2009,"VA",402.602632782714,4131.04509985451
"14","gizzard shad",0.273077450271572,2009,"VA",397.602632782714,4139.70535389236
"15","gizzard shad",0.56614494582854,2009,"VA",407.602632782714,4139.70535389236
"16","gizzard shad",0.442615390159504,2009,"VA",392.602632782714,4148.3656079302
"17","gizzard shad",0.373742914421426,2009,"VA",402.602632782714,4148.3656079302
"18","gizzard shad",1.21680860301949,2009,"VA",412.602632782714,4148.3656079302
"19","gizzard shad",0.752178796355926,2009,"VA",387.602632782714,4157.02586196804
"20","gizzard shad",0.4008671049092,2009,"VA",397.602632782714,4157.02586196804
